ticker_name,industry_group,2017,2016,class
ORLY,Retail/Wholesale,8593096,7966674,1
KO,Food Products,3156428,2306458,1
SHLDQ,Retail/Wholesale,22138,25146,0
AZO,Retail/Wholesale,10888676,10635676,1
AAP,Retail/Wholesale,9567679,9737018,0
ARMK,Food Products,14604412,14415829,1
HAL,Petroleum/Gases,15887,23633,0
WMT,Retail/Wholesale,485873,482130,1
TSN,Food Products,38260,36881,1
ARG,Petroleum/Gases,5313777,5304885,1
KMI,Petroleum/Gases,13058000000,14403000000,0
LKQ,Retail/Wholesale,8584031,7192633,1
NOV,Manufacturing/Processing,7352,11694,0
LOW,Retail/Wholesale,65017,59074,1
GT,Manufacturing/Processing,15158,16443,0
MAS,Manufacturing/Processing,7357,7142,1
BBY,Retail/Wholesale,39403,39528,0
PX,Petroleum/Gases,10534,10776,0
CHK,Petroleum/Gases,7872,12764,0
PFGC,Food Products,16761.8,16104.8,1
HD,Retail/Wholesale,94595,88519,1
KR,Food Products,115337,109830,1
NGL,Petroleum/Gases,13022228,11742110,1
SPLS,Retail/Wholesale,18247,18764,0
PAGP,Petroleum/Gases,20182,23152,0
BA,Manufacturing/Processing,94571,96114,0
UNFI,Food Products,9274471,8470286,1
UNVR,Petroleum/Gases,8073.7,8981.8,0
CORE,Food Products,14529.4,11069.4,1
WBA,Retail/Wholesale,118214,117351,1
TRGP,Petroleum/Gases,6690.9,6658.6,1
PPG,Manufacturing/Processing,14751,14766,0
COST,Retail/Wholesale,129025,118719,1
ODP,Retail/Wholesale,11021,11727,0
MHK,Manufacturing/Processing,8959087,8071563,1
SPTN,Food Products,7734600,7651973,1
DD,Manufacturing/Processing,24621.9,25413,0
ABC,Manufacturing/Processing,1.53E+11,1.47E+11,1
CAH,Manufacturing/Processing,129976,121546,1
CVX,Petroleum/Gases,110215,129925,0
PSX,Petroleum/Gases,84279,98975,0
PG,,65058,65299,0
TGT,Retail/Wholesale,69495,73785,0
DELL,Manufacturing/Processing,61642,50911,1
CSCO,Manufacturing/Processing,48005,49247,0
DOW,Manufacturing/Processing,48158000000,48778000000,0
MRK,Manufacturing/Processing,39807,39498,1
ORCL,Manufacturing/Processing,37728,37047,1
TJX,Retail/Wholesale,33183744,30944938,1
MMM,Manufacturing/Processing,30109,30274,0
KHC,Manufacturing/Processing,26487,18338,1
AVT,Manufacturing/Processing,17439963,16740597,1
M,Retail/Wholesale,25778,27079,0
MCD,Retail/Wholesale,24621.9,25413,0
ARW,Manufacturing/Processing,23825261,23282020,1
AMGN,Manufacturing/Processing,22991,21662,1
DG,,21986598,20368562,1
AN,Retail/Wholesale,141.9,146.8,0
LLY,,21222.1,19958.7,1
WHR,,20718,20891,0
EMR,Manufacturing/Processing,15264,14522,1
BMY,Manufacturing/Processing,19427,16560,1
KSS,Retail/Wholesale,18686,19204,0
LEA,Manufacturing/Processing,18557.6,18211.4,1
TMO,Manufacturing/Processing,18274.1,16965.4,1
SVU,Retail/Wholesale,12480,12907,0
CMI,Manufacturing/Processing,17509,19110,0
GIS,Retail/Wholesale,15619.8,16563.1,0
IEP,Manufacturing/Processing,16348,15272,1
WFM,Retail/Wholesale,16030,15724,1
GPS,Retail/Wholesale,15516,15797,0
CL,Manufacturing/Processing,15195,16034,0
JWN,Retail/Wholesale,14757,14437,1
WRK,Manufacturing/Processing,16285.1,14859.7,1
CAG,Manufacturing/Processing,7826.9,8664.1,0
CDW,Retail/Wholesale,13981.9,12988.7,1
TXT,Manufacturing/Processing,13788,13423,1
TXN,Manufacturing/Processing,13370,13000,1
NWL,Manufacturing/Processing,13264,5915.7,1
ROST,Retail/Wholesale,12866757,11939999,1
LB,Retail/Wholesale,12574,12154,1
RAI,Manufacturing/Processing,12503,10675,1
MU,Manufacturing/Processing,20322,12399,1
VFC,Manufacturing/Processing,12019003000,12032655000,0
BBBY,Retail/Wholesale,12215757,12103887,1
HSIC,Retail/Wholesale,11571668,10629719,1
TOY,Retail/Wholesale,11540,11802,0
BIIB,Manufacturing/Processing,11448.8,10763.8,1
SWK,Manufacturing/Processing,11406.9,11171.8,1
PH,Manufacturing/Processing,12029312,11360753,1
SYK,Manufacturing/Processing,11325,9946,1
EL,Manufacturing/Processing,11824,11262,1
CELG,Manufacturing/Processing,11229.2,9256,1
GPI,Retail/Wholesale,10887612,10632505,1
AMAT,Manufacturing/Processing,14537,10825,1
OXY,Manufacturing/Processing,10090,12480,0
X,Manufacturing/Processing,10426,12776,0
BAX,Manufacturing/Processing,10163,9968,1
GWW,Manufacturing/Processing,10137204,9973384,1
SAH,Retail/Wholesale,9731779,9624299,1
HUN,Manufacturing/Processing,9657,10299,0
HRL,Manufacturing/Processing,9167519,9523224,0
GLW,Manufacturing/Processing,9390000,9111000,1
BLL,Manufacturing/Processing,9061,7997,1
OKE,Manufacturing/Processing,8920934,7763206,1
LAD,Manufacturing/Processing,60727,101397,0
RS,Manufacturing/Processing,8613.4,9350.5,0
BSX,Manufacturing/Processing,8386,7477,1
CCK,Manufacturing/Processing,8284,8762,0
GLP,Retail/Wholesale,8239639,10314852,0
CPB,Manufacturing/Processing,7890,7961,0
DKS,Retail/Wholesale,7921981,7270965,1
APC,Manufacturing/Processing,1230,880,1
WNR,Manufacturing/Processing,7743213,9787036,0
ZBH,Manufacturing/Processing,7683.9,5997.8,1
AXE,Manufacturing/Processing,7622.8,6190.5,1
LHX,Manufacturing/Processing,5900,5992,0
HSY,Manufacturing/Processing,7440181,7386626,1
AGCO,Manufacturing/Processing,7410.5,7467.3,0
WCC,Retail/Wholesale,7336017,7518487,0
MOS,Manufacturing/Processing,7162.8,8895.3,0
TSLA,Manufacturing/Processing,7000132,4046025,1
ASNA,Retail/Wholesale,6649.8,6995.4,0
DRI,Retail/Wholesale,7170.2,6933.5,1
HAR,Manufacturing/Processing,6911676,6155297,1
NVDA,Manufacturing/Processing,6910,5010,1
DOV,Manufacturing/Processing,6794342,6956311,0
TSCO,Retail/Wholesale,6779579,6226507,1
SEE,Manufacturing/Processing,6778.3,7031.5,0
STZ,Manufacturing/Processing,7331.5,6548.4,1
ABG,Retail/Wholesale,6527.8,6588.3,0
BERY,Manufacturing/Processing,7095,6489,1
SANM,Manufacturing/Processing,6868619,6481181,1
DDS,Retail/Wholesale,6256971,6595626,0
CASY,Retail/Wholesale,7506587,7122086,1
APH,Manufacturing/Processing,6286.4,5568.7,1
OSK,Manufacturing/Processing,6829.6,6279.2,1
THS,Manufacturing/Processing,6175088,3206405,1
AVY,Manufacturing/Processing,6086.5,5966.9,1
HBI,Manufacturing/Processing,6028199,5731549,1
MSI,Manufacturing/Processing,6038000000,5695000000,1
LRCX,Manufacturing/Processing,8013620000,5885893000,1
AVP,Manufacturing/Processing,5717.7,6160.5,0
TEX,Manufacturing/Processing,4443.1,5021.7,0
DHR,Manufacturing/Processing,16882.4,14433.7,1
INGR,Manufacturing/Processing,5704,5621,1
BURL,Manufacturing/Processing,5590950,5129843,1
OLN,Manufacturing/Processing,5550.6,2854.4,1
CC,Manufacturing/Processing,5400,5717,0
CE,Manufacturing/Processing,5389,5674,0
BIG,Retail/Wholesale,5200439,5190582,1
