ticker,url_10k,new_url
ORLY,https://www.sec.gov/Archives/edgar/data/898173/000089817317000091/orly-20161231x10xk.htm,https://www.sec.gov/Archives/edgar/data/898173/000089817317000091
KO,https://www.sec.gov/Archives/edgar/data/317540/000156459017004316/coke-10k_20170101.htm,https://www.sec.gov/Archives/edgar/data/317540/000156459017004316
SHLDQ,https://www.sec.gov/Archives/edgar/data/1310067/000131006717000005/shld201610k.htm,https://www.sec.gov/Archives/edgar/data/1310067/000131006717000005
AZO,https://www.sec.gov/Archives/edgar/data/866787/000119312517319357/d447746d10k.htm,https://www.sec.gov/Archives/edgar/data/866787/000119312517319357
AAP,https://www.sec.gov/Archives/edgar/data/1158449/000115844917000034/aap_10kx12312016.htm,https://www.sec.gov/Archives/edgar/data/1158449/000115844917000034
ARMK,https://www.sec.gov/Archives/edgar/data/1584509/000158450917000247/fy2017aramark10-k.htm,https://www.sec.gov/Archives/edgar/data/1584509/000158450917000247
HAL,https://www.sec.gov/Archives/edgar/data/45012/000004501217000047/hal_12312016-10k.htm,https://www.sec.gov/Archives/edgar/data/45012/000004501217000047
WMT,https://www.sec.gov/Archives/edgar/data/104169/000010416917000021/wmtform10-kx1312017.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416917000021
TSN,https://www.sec.gov/Archives/edgar/data/100493/000010049317000133/tsn201710kq4.htm,https://www.sec.gov/Archives/edgar/data/100493/000010049317000133
ARG,https://www.sec.gov/Archives/edgar/data/804212/000080421216000048/arg-33116form10xk.htm,https://www.sec.gov/Archives/edgar/data/804212/000080421216000048
KMI,https://www.sec.gov/Archives/edgar/data/1506307/000150630717000008/kmi-2016x10k.htm,https://www.sec.gov/Archives/edgar/data/1506307/000150630717000008
LKQ,https://www.sec.gov/Archives/edgar/data/1065696/000106569617000005/lkq-20161231_10k.htm,https://www.sec.gov/Archives/edgar/data/1065696/000106569617000005
NOV,https://www.sec.gov/Archives/edgar/data/1021860/000119312517047937/d313669d10k.htm,https://www.sec.gov/Archives/edgar/data/1021860/000119312517047937
LOW,https://www.sec.gov/Archives/edgar/data/60667/000006066717000076/lowesform10k.htm,https://www.sec.gov/Archives/edgar/data/60667/000006066717000076
